Wall time,Step,Value
1549662103.4157543,0,301.3883972167969
1549664510.0436788,1,287.0408630371094
1549666913.2306824,2,283.1992492675781
1549669318.5553808,3,281.21630859375
1549671725.1763453,4,279.86578369140625
1549674131.4265857,5,278.77471923828125
1549676535.6589518,6,277.7916564941406
1549678945.3637283,7,276.73724365234375
1549681352.719144,8,275.52581787109375
1549683763.3251357,9,274.0707702636719
1549686175.799837,10,272.2716369628906
1549688586.5573847,11,270.0333251953125
1549690997.3647752,12,267.42828369140625
1549693408.827507,13,263.8388977050781
1549695824.4741793,14,260.9857482910156
1549698236.451663,15,256.8908386230469
1549700647.8075814,16,251.26478576660156
1549703064.4419541,17,250.42433166503906
1549705478.4038572,18,241.96278381347656
1549707893.2904122,19,233.50045776367188
1549710306.0737996,20,227.71728515625
1549712720.3345315,21,224.33958435058594
1549715138.7286327,22,216.08111572265625
1549717554.371838,23,208.97328186035156
1549719971.7555766,24,204.5055389404297
1549722388.6581573,25,203.450927734375
1549724805.7093663,26,204.563720703125
1549727222.9389656,27,204.03660583496094
1549729689.8941307,28,195.62229919433594
1549732128.765137,29,191.62709045410156
1549734576.2041285,30,187.219970703125
1549737003.2811954,31,186.6613311767578
1549739429.5117068,32,182.64976501464844
1549741859.2352488,33,178.4044189453125
1549744293.8563228,34,174.23757934570312
1549746722.435458,35,169.94302368164062
1549749148.7843456,36,166.23228454589844
1549751579.1188064,37,165.87957763671875
1549754009.1151435,38,164.2405242919922
1549756462.8322837,39,160.21627807617188
1549758894.396939,40,157.6909637451172
1549761324.0259776,41,156.30970764160156
1549763753.0741158,42,153.61209106445312
1549766181.0178206,43,152.14183044433594
1549768612.7462654,44,150.19342041015625
1549771042.1916747,45,149.40737915039062
1549773471.7163312,46,147.8943634033203
1549775901.020061,47,147.02964782714844
1549778333.0522153,48,153.8566131591797
1549780765.0052655,49,150.1273956298828
